Student Number,Korryn,Kim,Resolved,Model,Bloom's Resolved Model,Copilot
1,Moderate,High,High,High,High,High
2,High,High,High,High,Moderate,High
3,Moderate,Moderate,Moderate,Moderate,Moderate,High
4,Moderate,Low,Moderate,Moderate,Moderate,High
5,Low,Low,Low,Moderate,High,High
6,Moderate,Low,Moderate,Low,Low,
7,Low,Low,Low,Low,Low,
8,Moderate,Low,Low,Low,Low,
9,Low,Low,Low,Moderate,High,
10,Low,Low,Low,Low,Low,
11,Low,Low,Low,Low,Low,
12,Low,Low,Low,Low,Low,
13,Low,Low,Low,Low,Low,
14,Low,Low,Low,Low,Low,
15,Low,Low,Low,Low,Low,
16,Moderate,Moderate,Moderate,High,High,
17,High,High,High,Low,High,
18,Moderate,Low,Low,Low,Low,
19,Low,Low,Low,Low,Low,
20,Low,Low,Low,Moderate,Low,
21,Low,Low,Low,Low,Low,
22,Low,Low,Low,Low,Low,
,,,,73%,77%,